word,count
녹음,269
사용,181
앱,178
회의,159
정말,156
인식,147
때,146
최고,142
음성,141
굿,140
변환,134
기능,128
것,125
어플,118
아주,114
수,109
텍스트,108
시간,101
내용,92
노트,83
진짜,79
기록,79
대박,79
정확도,73
더,73
거,73
생각,68
요,66
록,66
도움,64
부분,64
강의,64
파일,63
매우,51
작성,50
완전,49
수정,48
좀,47
정도,47
유료,47
신세계,46
통화,44
조금,43
음성인식,43
메모,42
말,42
률,39
바,39
발음,37
오타,37
점,36
분,36
대화,34
개,34
이,32
정리,31
개선,31
다시,30
시,30
사람,30
감사,29
네이버,29
처음,29
제,28
바로,28
거의,28
후,27
업무,27
안,26
저장,25
글,25
문자,25
와우,25
편집,24
추가,24
추천,24
그,23
업로드,23
영어,23
테스트,23
자동,23
다만,22
공부,22
목소리,22
알,22
전환,22
기술,21
걸,21
확인,21
글자,21
짱,21
내,20
다른,20
단어,20
이상,20
앞,20
오,20
경우,19
인터뷰,19
굿굿,19
