,0
0,"요새 아이디어가 고갈되고, 또 생성되고, 또 사라졌다가, 또 불쑥 튀어나오네요. 좋은 아이데이션 과정에 대한 답 또한 관심이 많습니다. 오늘은 ‘아이디어를 위한’ 방향성을 가지고 이야기를... "
1,영어놀이 아이디어 고갈... 결국 카드찾기 드디어 아이디어 고갈입니다. 이게... 뭔가 하려고 하면.. 머리속에서 아무런 생각이 안날때가 종종 있습니다. 물론 멋진 아이디어가 팡팡팡 떠오를때도 있긴 해요... 
2,다들 뭐해먹고 사나요? 매일매일 눈떠서 잠들때까지 젤 많이하는 생각이 '오늘 뭐먹지?' ㅋㅋㅋㅋㅋ 남편이랑 애랑 어떤메뉴를 줘야하나 늘 고민의 연속 ! 결국 매일 비슷비슷하게 흘러가지만?ㅋㅋ 냉장고 싸악... 
3,"그러므로 브랜드, 하드웨어, 애플리케이션, 직원 모두 서로 얽힌 전체의 일부가 되어야 한다.  아이디어가 고갈된 디자이너를 위한 책 : 로고 디자인 편 저자 스티븐 헬러,게일 앤더슨 출판 더숲 발매 ..."
4,지금 머리하러 왔는데 시간이 너무 안 가서 블챌 올리기  토 교직실무 과제로 문제 개 만드는데 시간은 걸린 듯 물론 그 중에 집중한 시간은 도 안된다 문제 푸는 것보다 만드는 게 체감상 배는 힘들다... 
5,"그래서 이번 휴일동안에는 나름 고갈된 머릿속을 채우기 위해 열심히 인풋을 했다. '뭐라도 머리에 들어가야 또 나오지 않겠나' 하는 마음으로 말이다. © possessedphotography, 출처 Unsplash '포스팅을 안 하더라도... "
6,대기업의 상술이다 뭐다 해도 간만에 빼빼로 먹는 분들도 있을 거고 아니면 연인에게 이번엔 어떤 빼빼로 포장을 해야 할지 고민하시는 분들도 많을 것 같은데 이런 아이디어 고갈 시점에 딱 맞춰 체험하게 된... 
7,( 애들 간식 아이디어 고갈이에요. 다들 뭐 맥이면서 키우시나요 ㅜㅜ) * 우리 애들 먹거리 루틴 * [ (아침 + 오전 간식)  (점심 + 오후 간식)  (저녁 + 저녁 간식) ] 각 끼니 사이에 우유 한 팩씩 먹이고요. 그런데도... 
8,나는요 완전히 고갈됐어요 열심히 산 일주일이었는데 너무 열심히 산 나머지 사진 찍을 만한 활동을 한 게 없어 먹은 음식 사진이나 많이 첨부합니다 월수의 포식 화요일엔 바로 전 글처럼 적벽 차를 뛰러... 
9,"세 달동안 하고싶은 거 다 해먹었더니 이제 더이상 아이디어가 없어요... 한 끼는 간식처럼 때우고, 저녁에는 돼지갈비를 해먹었습니다. 잡내제거를 더 잘했어야 했는데. 아니, 갈비찜 양념에 목살을 넣었어야... "
10,"나의 생각, 너의 기억 - 규현 드디어.. 밀리고 밀린 정상적인 일상글을 쓸 수 있게 되었습니다.. ⛳️  ~  입실렌티 다음 날에 엠티 가는 과가 있다..? 심지어 선발대라서 시까지 봉화산까지 갔는데 알고보니... "
11,"[유튜브 꿀팁] 유튜브 콘텐츠 아이디어 고갈 시, 권장 드리는 방법 하나 소개해드립니다! 영상 콘텐츠도 찍고 돈도 벌 수 있어요! (광고 아닙니다) 유튜브 브랜디드 광고라든지 협찬이나 체험단을 제외하고... "
12,"아이디어가 고갈된 디자이너를 위한 책 : 로고 디자인 편 저자 스티븐 헬러, 게일 앤더슨 출판 더숲 발매 ... #그래픽디자인 #로고디자인 #브랜딩  로고는 (물건을) 판매하지 않는다. (물건을)... "
13,"책에는 배울 수 있는 것들이 많다 보니 ㅎㅎ~ 그럼 '아이디어가 고갈된 디자이너를 위한 책'에 대한 간략한 리뷰를 써볼게요~ 다양한, 기업들의 로고 역사의 원천을 배울 수 있는 책입니다. 어떤 식으로... "
14,"이번주 분량 조절 좀 실패 ㅋㅋ 근데 얘들아 블챌 서이웃으로 올리면 참여 안되냥? 사람 아무도 없는 버스? 너무 좋아~ 좋아하는 노래 들으면서 창밖보면 감성 폭, 발 주영 선생님의 조언으로 중스회를 잡기 위해... "
15,거의 남발 급으로 갔더니 결국 떨어졌습니다(....)익산행 무궁화호 #(전기기관차 호)오늘의 철도계 부수차량들(컨텐츠 고갈이 와버렸다)행신행 KTX-산천 #(호기 편성)여수행 무궁화호 #... 
16,"크림색 얘는 목부분이 도톰하고 어깨가 쫍아요 얘는 단추가 있어요. 안보이지만, 앞은 얇고 뒤는 도톰한 언발란스한게 뽀인뜨에요. 센스 세일 구경하다 찾은 브랜드인데 모델핏이 참 예뿌넴. 처음 들어보는데... "
17, (화) 오늘 진짜 이상한 꿈을 꾸고 일어나서 엥??했는데 그게 무엇이었냐면.....제가 애를 낳는 꿈이었습니다.... 임신 및 출산과정은 없고 그냥 어느 순간 내 손에 애가 들려있었는데 나도 당연하게 내 애라고... 
18,네가 뭘 좀 아는구나 블챌 덕에 공주들이 열심히 블로그를 올려 즐거운데요 말이 많을 수록 재미 배 진지해서 재미없을 수록 재미 배 더욱 말 많아 귀여운 너희들 되어주렴 ^.^ 두번째 여정 가보자고요 더... 
19,안녕 저는 뭉. 벌써 시 분이에요. 저는 빨리 블로그를 쓰고 내일 보는 영어 쪽지시험 준비해야하니깐 빨리 가볼게요 레츠 고 일. 아빠 생일이었어요. 그래서 케이크먹고 술도 한잔 마심. 히히 요즘 애들은... 
