,0
0,"충분한 회의가 이루어지지 못했던 거고요 한마디로 아이디어의 고갈, 또는 매너리즘이겠죠. 다들 느끼는 이질감이 바로 여기서 기인하는 거고요. 이거 어디서 많이 봤는데... 하고 말입니다. 전 제발 그러지... "
1,이전부터 열린다는 것은 알고 있었지만 아이디어 고갈로 나가야하는지에 대한 고민을 하고 있던 찰나... 맞대고 회의를 할 수 없는 상황이 오는 것이 조금은 아쉽다. 생각보다 접수까지 시간이 많이 남지... 
2,기분이 안좋거나 흐린 날씨가 계속될 때 미세먼지가 가득찬 공기에 목이 캐캐할 때 심지어 아이디어 회의를 하는데 아이디어 고갈 상태로 분위기가 엉망일 때... 어제가 그런 날이었다. 무작정 앉아있기 모호해서... 
3,"운영위원회 회의자료.pdf 파일 다운로드 &lt;주요내용&gt; . 월 수지결산서, 월~년 월 주요사업 보고... 필요 - 아이디어 고갈, 참여율 저조 등에 대한 개선책 필요 - 기존 참가자 대상으로 왕중왕전 개최 제안... "
4,제목 아이디어 고갈.. 보통 최근에 제일 자주 듣는 노래 가사로 정하는데 요새 레전드 정신없이 지내고... 회의 아무도 안 들어올 때 기다리면서 찍음 후.. 역대급 힘들었던 시간으로 기억 ... ^^ .... 끝나고... 
5,ㅋㅋㅋㅋ다들 아이디어 고갈? 어차피 그주에 회를 번이나 먹어서 오마카세 별로였기에 그냥 복어... 코스요리 만원대를 시켰는데 더 비싼거랑 차이는 회의 양이라고 함 난 이 복껍질무침 너무 좋다 ㅋㅋㅋㅋ... 
6,"갑작스러운 회의진행은 아이디어 고갈의 문제 단계: 아이디어 발산 단계 &lt;규칙&gt; .모든 아이디어는 동일하게 귀중하다 .아이디어 발산시에, 그에 대한 비판이나 부연설명 같은 편향된 생각은 발설하면... "
7,보고만 있어도 아이디어가 샘솟는 책 아이디어가 경쟁력이 된 요즘 ‘우리 브레인스토밍 회의나 할까?... 창의장벽 극복 전략을 밝힘으로써 그들도 아이디어 고갈로 힘들어한다는 사실을 인정한 셈이 되게끔... 
8,무엇을 해야 재미있을 것인가... ㅡㅡa
9,"죄송해욧,, 꼭 넣어 보고싶네요 히히 학교에서부터 시작 된 아이디어 회의는 집에 와서도 오전 시... 더 많은 포토샵 시련과 아이디어 고갈로 힘든 카톡대화가 더 많이 있지만 다 올리기 힘든 관계로 히히 짠!!!... "
10,자유롭게 의견을 말하고 생각이 오가는 굿즈 회의(라고 믿고 싶습니다) 저는 내일 굿즈 회의가 있어요.(아이디어 고갈) 위에 적은 세 가지 회의가 제가 필수로 참석해야하는 회의입니다. 생각해보니 제가 왜... 
11,내일 모프 주제 회의해야 해서 주제 생각하고 정리하는데 아이디어 고갈이다 진짜.. 뭘 만들어야 할지도 모르겠고 만들어 볼까 하는 것도 이미 다 있어서 한다고 해도 그대로 따라 만드는 느낌..? 새롭고... 
