,0
0,"방탈출 컨셉 아이디어를 공유하는 시간을 가졌다. 각 잡고 분석하고 회의한 것은 아니니까,내용의... 동기의 아이디어 구상 방식이 서로 반대였던 덕분에 서로의 단점을 보완할 수 있었다. 동기는 작업을 시작할... "
1,모든 아이디어는 장점과 단점이 있습니다. 민주적 의사결정과 집단지성을 통해 도출한 아이디어라도 생각하지 못한 것을 한번 더 정리하고 개선점을 찾아가는 과정은 반드시 필요하죠. 테이블별로 배정받은... 
2,팬샵단점 : 경기 제대로 못봄 ㅠ 멀리서 카메라를 줌인해서 경기를 봤습니다 ^^ 나 팬샵에 있는데...  미니프런트 정기 회의 이번 회의는 피크닉을 갈려했지만 날씨가 흐려서 미술관에 갔다 오히려좋아... 
3,[나눔로또] 건전복권문화 공모전 조 아이디어 회의 안녕하세요! 저번에 포스팅 했던 건전복권문화... 단점은 양이 좀 적더라구요...ㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎㅎ핳 (양 중요함...굉장히!!!!!!) 맛은 아주 좋았는데..... 
4,"부적합 회의기법 브레인라이팅 - 브레인스토밍의 단점을 보완하기 위한 기법으로, 구성원들이 조용하게 글로 자신의 아이디어 제출 - 구성원간 더 자유로운 아이디어 수렴이 가능하다 회의기법... "
5,"레노버 아이디어 패드 L은 화면을 도까지 펼칠 수 있어 회의를 할때도 편하게 사용할 수 있습니다. 만원대 가성비 노트북 레노버 아이디어패드 L 장점, 단점 장점 : 도 힌지, 만원대 가성비!... "
6,아이디어 회의 - 브레인라이팅 회사에서 회의할 때가 가장 싫다는 사람이 있다. 많은 이유가 있지만 그... 이러한 방식의 단점은 참가자 간에 서로 자극하는 상승효과를 기대할 수 없는 것이다. [네이버... 
7,같이 아이디어 회의를 하거나 동시 작업을 할 수 있는 부분이죠. 아래 영상 보시면 쉽게 이해가 되실 거예요. Wacom Inkspace - Ink to Collaoration: How it works 실제로 사용해 보니 확실히 장단점이 있는 제품입니다.... 
8,"아무말이다 하다가 정말 아무것도 아닌거에 집착을 하게되는 브레인스토밍의 현실적인 단점도 볼 수... 차량용품에 대한 아이디어 회의를 하다가, 차량뒤에 혈액형 스티커를 붙인다는 이야기도 나오죠. 이왕... "
9,"있음) ★ 단점: '장 아마존식 아이디어 회의' 이후는 일반적으로 알려져 있는 내용들과 유사하고 특별히 새로운 내용이 없음. 특히, 브레인스토밍 할 때 '화이트 보드'를 이용한다는 것은 오히려 아마존의... "
10,해외 광고업계에서는 아이디어 회의를 ‘티슈 세션’이라고 부릅니다. 아이디어를 티슈에 써서 부담 없이 서로에게 내보이는 행위에서 유래되었다고 합니다. 이러한 에피소드를 봐도 그럴듯한 툴을... 
11,빔프로젝터의 단점을 해결해주는 제품! 바로 &quot;LED스크린&quot;이랍니다~ LED스크린은 조명에 영향을 거의 받지 않아서 형광등을 껐다켰다하는 번거로움이 없고 밝은 곳에서 선명한 화질로 회의를 하기때문에 직접... 
12,"학교에서 교수님의 강의를 듣거나 일과 관련한 아이디어 회의를 할 때, 화자가 하는 말을 그대로... - 약간의 단점은 있지만, 이런 점들을 감수할 만큼 충분히 가치가 있는 어플입니다. - 안드로이드, iOS의... "
13,필터 단점 최대 시간까지 사용 가능 (새로운 회의실 생성으로 계속 사용할 수는 있음) 무료... 아이디어 공유 및 기록까지! 필기 기능도 제공돼 태블릿에서 사용하기 좋더라. 독특한 기능이 하나 있는 데... 
14,"[한국직업방송]취업비사 재택근무 장, 단점, %활용법, 신입 채용방향 한국직업방송 취업비사 회... MC 박영진님도 아이디어 회의 때는 재택근무를 한다고 하시네요.그리고 재택근무를 하게 되면 늘 PC를... "
15,"안녕하세요, 아이오티스페이스 입니다 :D 여러 가지 회의가 있지만 유독 아이디어 회의에만 참석하면... 브레인라이팅 브레인스토밍의 단점은 사람들 앞에서 발언하는 것이 어렵고, 소극적인 사람들의 참여가... "
16,싶어지는 단점아닌 단점이...^^ 저는 [아이디어로 돈을 벌 수 있는 방법은?]이라는 강의를... &gt; 한 번쯤 내 이름으로 특허를 출원해보고 싶다면 &gt; 아이디어 회의가 두렵다면 &gt; 경쟁력있는 사업 아이템이... 
17,"소비자로서 제품의 단점을 꼬집어도 되고, 마케팅의 문제점을 지적해도 되는데 괜히 그러면 안될 것... 아이디어 회의결과, 려의 샴푸&amp;린스 제품 외관의 색상이 제품의 기능을 보여주지 못하고 있다는 점 (ex.... "
