,0
0,"현시대에서 사람을 끌어모으는 가장 좋은 방법은 콘텐츠 만들고 공유하는 것이기에 개인이든, 기업이든 너나 할 것 없이 콘텐츠를 만들고, 미디어 채널과 SNS 채널을 운영한다. 특히 인력도 돈도 부족한 개인... "
1,창의성이 부족한 사람도 아이디어를 만들 수 있는 방법 우선 가설 수립의 가지 접근법은 다음과 같다.... '유튜브 정보'라고 검색해봐도 내가 인식한 문제를 해결해줄 수 있는 서비스가 없다고 판단이 된다.... 
2,"하나라도 부족할 경우 중간 사건이 발생하고, 문제를 해결하지 못하면 시간과 비용을 낭비하게 됩니다. 현재 아이디어특허등록을 계획하고 있다면 요건 먼저 확인하신 후 계획을 세워 꼼꼼하게 진행하시기... "
3,"감성이 부족한 사람은 아이디어를 피워낼 수 없다. © ianjattaglia, 출처 Unsplash _상식을 깨면 세상이... 환자를 빠르게 이송하기를 고민한 병원 이송 팀 구조 대원은 다른 방법으로 해결방안을 찾았다.... "
4,"가뭄, 오염, 관리 실패 등의 요인 때문에 물 보존과 앞으로의 활용방법에 대한 고찰이 매우 중요한... 창의적인 아이디어로 크라우드 펀딩 이나 자선사업 등의 형태를 통해 식수문제를 해결하려 하는 움직임이... "
5,세계물의날~ 아이디어로 물부족 해결?!^^ 월 일은 세계물의 날입니다..^^; 인구도 점점~늘어나고... 보통의 방법으로 욕조에서 목욕할 때보다 물 사용량을 절반으로 줄일 수 있다&quot;고 전했다. 이밖에... 
6,"해결한다는 원리이지요 :D 자연을 해치지 않는 선에서 친환경적인 방법으로 물을 생산하고 공급하는 ‘히말라야 워터 타워’, 정말 히말라야에 세워진다면 물 부족을 해결할 수 있는 큰 힘이 되지 않을까요?"
7,구현 방법 아이디어 발굴 문제해결 가능성 제품적용 가능성 시장 파급성 지식 재산 확보... 과부족 .복제 .상전이 .포개기 .차원 변경 .일회용품 .열팽창 .공중부양 .진동 .기계시스템... 
8,그 때 쓸 수 있는 하와이 문제 해결법인데요. &lt;호오포노포노&gt;라는 책에 있는데 실제 심리 치료 방법... image 부족은 하나의 아이디어로 연결된 집단이다. (하나의 아이디어 = 공통의 관심사  연결된 = 소통 방법)... 
9,"연구하고 해결 방법을 강구하고 있죠. 그런데 여기 오스트리아의 한 대학생이 물 부족 현상을... 물 부족 현상을 해결하기 위한 기발한 아이디어 제품들이 계속해서 개발된다면, 머지않은 미래에는 물... "
10,"차 기획 연구 아이디어를 모으다. 회차 기획연구에서는 지난 연구 결과를 리뷰한 후, 사전 조사 내용에... 홍보 부족 문제’와 ‘부산 바다의 홍보 방법 관련 문제’에 대해 해결 방안을 생각해보기로... "
11,아무리 만들어도 부족한 회의실이 문제였다. 이에 회사 건물이 위치한 거리와 같은 선상에 있는... 실행하기: 정의한 문제를 해결할 방법을 결정하고 행동하기 #아이디어 #아파트커뮤니티 #커뮤니티센터... 
12,"항상 부족합니다. 여유롭게 진행할 수 있겠구나 라고 생각했는데, 잠시 딴 생각을 하고 있다보면... 어떻게 광고도 없이 네이버노출을 만들어낼까? ④ 클라이언트의 미션을 스토리와 아이디어로 해결하는 방법"
13,아무쪼록 이번 시간에는 브라질에서 발생했던 하이퍼인플레이션과 그 해결 방법에 대해... 문제를 해결하지 못했죠. 그러던 어느 날!! 년 '에드마르 바차'라는 경제학자가 기똥찬 아이디어를 내서 이를... 
14,"개인적인 아이디어 또한 특허권을 등록 받아 볼 수 있습니다. 하지만 정확한 지식과 노하우가 부족하다... 사건이 발생할수록 심사 기간이 길어지고, 해결하지 못하면 개인 아이디어 특허 등록할 수 없습니다.... "
15,"대체적으로 쉽고 빠르게 문제를 해결하고자 알아 보며 도움을 받아 진행하고 있으니 참고하여 등록 준비를 해 보시길 바랍니다. 아이디어특허등록 보다 신속하게 진행하는 방법엔 절차 파악과 요건 파악, 그리고... "
16,성공할 만한 ‘스타트업 아이디어’를 찾는 방법이 궁금하신가요? . 개인적인 문제를 해결하는... 그러니 여러분이 지금 어떤 것에 관심과 열정을 가지고 있다면 관련 시장에는 어떤 부족한 부분이 있는지와... 
17,"의문을 제기할 시간을 투자하지 않았기에 앞으로 더 많은 문제가 생기고, 결국 훨씬 더 시간이 부족해진... (TMI 포함) 이 책을 읽으면 다양한 문제 해결 방법에 대한 아이디어를 얻을 수 있어서 좋았는데, 약간의... "
