,0
0,"제시하는 아이디어가 퀄리티와 준비성 면에 있어 부족하지 않을까 예상했었습니다. 아니나 다를까 제... 그 정도로 창의적인 아이디어, 문제의식, 해결을 위한 추진력 등 배울 점이 많다고 느꼈기 때문입니다.... "
1,모순 해결 아이디어 구체화 아이디어 확장 선정된 아이디어 구체화 아이디어 해결원리 재정립... 과부족 .복제 .상전이 .포개기 .차원 변경 .일회용품 .열팽창 .공중부양 .진동 .... 
2,"문제를 해결할 아이디어' 입니다. 평소, 스타트업에 관심이 많던 지라 하고는 싶고 생각만 하던... 최우수상을 노렸지만,, 많이 부족했나 봅니다 영상제작을 해야 수상대상이라고 하던데 카드뉴스를 제작해서... "
3,"월일 영월관광센터 층 화이통협동조합 체험실에서 ' 문제 해결 아이디어 찾기 심화워크숍'이... 그 외에도 참여하신 분들이 열정적으로 청소년 공간 부족, 인 가구 문제, 가로수 문제 등 다양한 지역 문제... "
4,"차 기획 연구 아이디어를 모으다. 회차 기획연구에서는 지난 연구 결과를 리뷰한 후, 사전 조사 내용에... 홍보 부족 문제’와 ‘부산 바다의 홍보 방법 관련 문제’에 대해 해결 방안을 생각해보기로... "
5,그 때 쓸 수 있는 하와이 문제 해결법인데요. &lt;호오포노포노&gt;라는 책에 있는데 실제 심리 치료 방법... Previous image Next image 부족은 하나의 아이디어로 연결된 집단이다. (하나의 아이디어 = 공통의 관심사... 
6,"기능 책상이나 테이블 하단에 붙여서 사용하는 부착식 서랍으로, 공간이 부족할 때 수납공간을 따로... 이를 해결하기 위해서 어떤 해결책을 만들었나? ( 이 제품에 채택된 아이디어 ) 책상을 사용해야 하는... "
7,"하지만 그 반면, &quot;집중할 수 없다&quot; &quot;운동 부족해진다&quot;등 새로운 고민을 하는 사람도 적지 않습니다. 그래서, 이번에는 그런 원격업무의 고민을 단번에 해결하는 아이디어를  가지 소개합니다! 원격업무의 고민을... "
8,이것은 공급 부족을 야기하고 물가 상승을 더 부추겼습니다. 인플레이션이 년 넘게 지속되니... 년 '에드마르 바차'라는 경제학자가 기똥찬 아이디어를 내서 이를 해결합니다. 바로 가상 통화 단위를... 
9,세계물의날~ 아이디어로 물부족 해결?!^^ 월 일은 세계물의 날입니다..^^; 인구도 점점~늘어나고 경제활동이 늘어남에 따라 물이 점점 부족해지고 있어요. 예전엔 남의 나라 일이라고 생각 했던 적이... 
10,물 부족 해결 방안! 끝도 없이 펼쳐진 바다를 보면 우리에게 물 부족이라는 말은 어울리지 않는 것... 그래서 ‘히말라야 워터 타워’는 이렇게 물이 부족한 상황을 대처하기 위한 좋은 아이디어 입니다.... 
11,"식물 벌채, 과도한 경작, 관개 시설 부족, 산업화, 노천 채굴 등의 인위적 요인으로 유례없는 가뭄이... 창의적인 아이디어로 크라우드 펀딩 이나 자선사업 등의 형태를 통해 식수문제를 해결하려 하는... "
12,시간은 부족하고 지금 같은 날씨에는 머리에 땀도 나고... 젤이나 왁스를 발라도 잘 안되는 상황이 정말 짜증나는 경우 다들 있으실 겁니다 뜨는 옆머리를 눌러주는 방법으로 빨리 해결되는 것이 어떤 것이... 
13,"조절 부족을 해결해 주는 기능성 렌즈는 국내 제품을 제외하고 호야, 니콘,자이스,도카이등 많이들... 궁금하신점 언제든 상담 가능 하세요~^^ 구미아이디어안경원으로 연락주세요~ 카톡보단 전화가 빠릅니다~^^"
14,플라스틱 폐기물 해결 방안 아이디어 나노 입자가 식물 플라스틱 내구성 높여 어차피 매립할 거라면... 시설조차 부족하다. 터키가 재활용하기로 약속한 대부분의 플라스틱을 실제로 소각하거나 매립한... 
15,"참여주제 : 디지털 기술 기반의 사회 문제 해결 또는 서비스 아이디어 제안 참가대상 : 전국민 누구나(개인 또는 인 이하의 팀)  단, 제외 대상도 있습니다. 동일한 아이디어로 타 기관 경진대회 및 공모전... "
16,"개인적인 아이디어 또한 특허권을 등록 받아 볼 수 있습니다. 하지만 정확한 지식과 노하우가 부족하다... 사건이 발생할수록 심사 기간이 길어지고, 해결하지 못하면 개인 아이디어 특허 등록할 수 없습니다.... "
17,"의문을 제기할 시간을 투자하지 않았기에 앞으로 더 많은 문제가 생기고, 결국 훨씬 더 시간이 부족해진... (TMI 포함) 이 책을 읽으면 다양한 문제 해결 방법에 대한 아이디어를 얻을 수 있어서 좋았는데, 약간의... "
18,세상을 바꾸는 혁신은 불편을 해결하기 위한 사소한 아이디어에서 시작한다고 생각합니다. 이번에... 지불하기에 부족함이 없는 가성비 충만한 이번 경험이었습니다. 만약 저처럼 점점 데스크 위 공간을... 
19,공간이 부족해 옷들을 구겨 넣거나 옷장 외부에 걸어놔야 했다. 이를 해결하기 위해 어떤 해결책을... 추가되었으면 하는 기능 혹은 아이디어 옷걸이 재질이 너무 미끄러워 옷들이 잘 흘러내려 고무나 옷걸이... 
20,페루의 물부족 해결 아이디어.jpg
21,"아직도 전 세계에는 수많은 사람들이 물 부족현상으로 어려움을 겪고 있지만, ‘폰터스’처럼 물 부족 현상을 해결하기 위한 기발한 아이디어 제품들이 계속해서 개발된다면, 머지않은 미래에는 물... "
22,식량 부족에 시달리고 있다는 사실을 해결하는 방법을 논의하기 위해 북적이는 DC 강당에서... 같은 아이디어를 개략적으로 설명했습니다. 영양 불안에 대한 확대 검사와 사람들이 더 건강한 식품 옵션을... 
23,안녕하세요 레노버 노트북 아이디어패드 S-IBR EMMC 기가 용량부족으로 인해 윈도우 업데이트도 되지 않아~ 용량부족 해결을 하고자 저희 분당 이매동 SSD 전문점으로 Ideapad s 노트북을... 
24,파프리카데이터랩 ‘캐다’ 김유빈 대표 창업 기업은 한 번쯤 자금 부족에 시달리는 등 큰 시행착오를... 까마귀가 어디서 출몰하는지 안다면 문제를 해결할 수 있지 않을까라는 생각이 들었어요. 떼 까마귀를... 
25,"문제를 해결하려고 스타트업 아이디어를 짜고, 창업하는 분들이 생각보다 많습니다. ‘반려동물... 그러니 여러분이 지금 어떤 것에 관심과 열정을 가지고 있다면 관련 시장에는 어떤 부족한 부분이 있는지와... "
26,"쏟아지는 쓰레기, 물 부족 문제, 장애인 관련 시설 부족 등 해결해야할 것들이 정말 많은데요. 이러한... 소셜벤처는 사회문제를 해결할 혁신적인 아이디어를 사업화하기 위해 설립한 신생기업을 의미합니다.... "
27,"우크라이나 하면 곡창지대인데, 이렇게 부족해지는 농작물을 효과적으로 해결하려면 어떻게 해야 할까? 라는 생각을 했습니다. 그렇다면, 전쟁이 나지 않은 곳의 농지에서 효율적으로 농작물을 재배할 수... "
28,"수납장, 벽, 코너, 선반, 책꽂이, 인테리어, 아이디어 부족한 수납공간을 해결해줄 코너 벽 선반, 수납장 아이디어 안녕하세요 퍼스트애비뉴예요^^ 드디어 월이 왔네요.. 날씨도 그걸 아는지 가을 초의 상쾌한... "
29,“부동산 시장 정보가 부족한  세대를 겨냥해 세무사·공인중개사 등 전문가와 상담을 받을 수... 학자가 아니어도 반짝이는 아이디어와 창업을 통해 세상에 유의미한 메시지를 전달하고 더 나은 삶의... 
30,"하나라도 부족할 경우 중간 사건이 발생하고, 문제를 해결하지 못하면 시간과 비용을 낭비하게 됩니다. 현재 아이디어특허등록을 계획하고 있다면 요건 먼저 확인하신 후 계획을 세워 꼼꼼하게 진행하시기... "
31,물 부족은 기술과 노력으로 비교적 쉽게 해결할 수 있는 여지가 있는데요. 이런 차원에서 주목받는... 절수형 아이디어가 등장하고 있는데요. 영국의 스타트업 제로스 영국의 스타트업 제로스는 세탁과정에서... 
32,히말라야 워터 타워 물 부족을 해결하는 아이디어 밀도가 놓은 도시나 지형에 건물을 세울 수 없는 경우의 문제를 해결하기 위해 평수는 좁지만 아주 높은 건물이 만들어 지기 시작했습니다. 이를 바로... 
33,경험이 부족하다면 신속히 해결해 보기 어렵습니다. 워낙 등록 된 기재건들이 다양하고 방대하기 때문에 완벽한 검토가 어려우니 첫 단계 부터 도움을 받아 보시는 것을 권장합니다. 아이디어특허등록 사전... 
34,진안군의 인구감소와 지방소멸 위기 극복을 위해 여러분의 멋진 아이디어를 받는 「 희망진안... (농촌일손부족 해결) 등 교육 분야 교육을 이유로 진안을 떠나지 않고 관내에서 양질의 교육을 받을 수... 
35,"저도 머릿 속에 많은 아이디어들이 있는데 실행력이 부족하고, 또 방법론을 몰라서 멈춰있을 때가... 이 문제를 해결하기 위해서는 획기적인 '아이디어'가 필요합니다. 상황을 뒤바꿀 '아이디어'가... "
36,수면부족을 해결하고 수면기본권을 지키기는 하나의 아이디어를 떠올렸는데요! 그것은 바로!! 우리의 치안을 지키기 위해 고생하시는 경찰분들을 위해 숙직실에 토퍼를 선물하는 것입니다! 경찰분들은 밤낮... 
