,단어,빈도수
0,아이디어,975
1,어려움,931
2,회의,676
3,것,318
4,수,224
5,때,180
6,생각,175
7,팀,153
8,그,153
9,이,133
10,사람,124
11,시간,116
12,위해,115
13,대한,107
14,저,106
15,등,105
16,진행,105
17,문제,103
18,통해,101
19,일,96
20,자신,86
21,위,79
22,때문,79
23,다른,76
24,해결,75
25,책,74
26,의견,73
27,중,72
28,가지,70
29,분,68
30,과정,68
31,및,67
32,우리,66
33,극복,65
34,더,63
35,말,58
36,활동,58
37,준비,56
38,프로젝트,55
39,나,54
40,내,51
41,대해,51
42,내용,50
43,경험,49
44,년,49
45,모든,48
46,모두,48
47,후,48
48,업무,47
49,점,47
50,시작,47
51,당신,47
52,관련,47
53,기획,45
54,팀원,45
55,방법,44
56,능력,43
57,데,43
58,부분,42
59,창의,42
60,기술,41
61,주제,41
62,속,41
63,처음,41
64,제안,40
65,제,39
66,지금,38
67,알,37
68,운영,37
69,시,37
70,전,37
71,마음,37
72,참여,37
73,가장,37
74,월,37
75,를,36
76,하나,36
77,저희,35
78,결과,35
79,도움,35
80,함,35
81,경제,35
82,여러,35
83,선정,34
84,이야기,34
85,현재,32
86,개발,32
87,대표,32
88,수도,32
89,결정,32
90,노력,31
91,상황,31
92,번,31
93,회사,30
94,사업,30
95,친구,30
96,아이,30
97,공유,29
98,습관,29
99,정말,29
100,자기,29
101,고민,28
102,정리,28
103,또,28
104,홍보,28
105,차,28
106,서로,27
107,앞,27
108,목표,27
109,제작,27
110,성공,27
111,이유,27
112,작성,26
113,사실,26
114,안,26
115,각자,26
116,다음,26
117,계획,26
118,또한,26
119,제시,26
120,학생,25
121,공모전,25
122,두,25
123,글,25
124,프로그램,25
125,포기,25
126,꼭,24
127,관리,24
128,이번,24
129,구성,24
130,발표,24
131,지원,24
132,단계,23
133,방안,23
134,기업,23
135,미션,23
136,설명,23
137,무엇,23
138,끝,23
139,동안,23
140,정,23
141,조직,23
142,사회,23
143,디자인,22
144,자료,22
145,계속,22
146,주민,22
147,생활,22
148,첫,22
149,개,22
150,제품,22
151,조사,22
152,수행,22
153,학습,22
154,하라,22
155,정도,22
156,이해,22
157,입,22
158,도전,22
159,개인,21
160,코로나,21
161,곳,21
162,봉사,21
163,투자,21
