,단어,빈도수
0,로그인,1080
1,계속,1013
2,코드,933
3,가입,868
4,소리,800
5,인증,737
6,디스,716
7,화면,702
8,사용,681
9,업데이트,679
10,연결,652
11,디코,635
12,계정,580
13,다시,577
14,제발,545
15,진짜,541
16,오류,529
17,통화,499
18,갑자기,498
19,자꾸,492
20,이메일,491
21,삭제,477
22,모바일,436
23,수업,420
24,설치,390
25,버그,379
26,서버,369
27,사람,346
28,문제,334
29,이어폰,313
30,음성,304
31,해결,303
32,친구,296
33,마이크,296
34,설정,266
35,해도,250
36,핸드폰,248
37,채팅,248
38,목소리,246
39,때문,244
40,비밀번호,233
41,기능,232
42,다른,232
43,비번,230
44,그냥,216
45,공유,210
46,이후,201
47,지금,195
48,어플,193
49,입력,191
50,라이브,191
51,정말,190
52,확인,180
53,게임,171
54,전화번호,170
55,컴퓨터,169
56,하라,164
57,버전,160
58,수정,160
59,버튼,157
60,전화,156
61,회의,155
62,배경,155
63,무슨,152
64,업뎃,151
65,와이파이,150
66,스피커,149
67,번호,149
68,시간,147
69,사진,147
70,휴대폰,145
71,상대방,143
72,아예,143
73,자동,143
74,방법,141
75,하나,141
76,회원,141
77,방송,141
78,이상,140
79,접속,139
80,가안,139
81,메일,137
82,블루투스,132
83,가상,132
84,별로,124
85,다운,123
86,학교,123
87,채널,123
88,음소거,121
89,자주,120
90,자체,120
91,갤럭시,119
92,튕기,117
93,가요,116
94,로딩,115
95,쓰레기,112
96,데이터,108
97,건가,105
98,개선,105
99,아이디,104
