,단어,빈도수
0,사용,1436
1,통화,1184
2,친구,894
3,화질,890
4,수업,866
5,화면,865
6,정말,767
7,아주,732
8,최고,728
9,기능,662
10,코드,640
11,디스,606
12,소리,566
13,게임,525
14,사람,480
15,음질,439
16,코로나,436
17,모바일,422
18,음성,390
19,공유,388
20,채팅,380
21,영상통화,379
22,진짜,362
23,가끔,360
24,디코,358
25,학교,331
26,품질,309
27,영상,308
28,연결,302
29,서버,280
30,다른,268
31,조금,264
32,때문,257
33,전화,251
34,회의,247
35,오류,247
36,그냥,247
37,로그인,246
38,문제,239
39,매우,239
40,버그,235
41,어플,231
42,설정,225
43,소통,216
44,배경,211
45,얼굴,210
46,추천,208
47,카톡,207
48,다시,204
49,계속,203
50,핸드폰,199
51,시간,197
52,대화,195
53,온라인,190
54,계정,190
55,완전,189
56,업데이트,188
57,가상,188
58,목소리,187
59,화상,186
60,생각,183
61,컴퓨터,181
62,추가,180
63,요즘,176
64,지금,170
65,선생님,169
66,자꾸,167
67,마이크,161
68,갑자기,159
69,시대,153
70,인증,153
71,무료,152
72,해결,145
73,라이브,142
74,와이파이,137
75,처음,135
76,자주,134
77,이용,131
78,공부,130
79,하나,128
80,사진,125
81,경우,122
82,안드로이드,121
83,가입,121
84,방송,119
85,삭제,118
86,한번,115
87,카카오,114
88,방법,114
89,그것,113
90,단점,112
91,스톡,112
92,상태,111
93,화상통화,110
94,굿굿,107
95,쓰기,106
96,다만,105
97,휴대폰,105
98,프로그램,104
99,이메일,104
